Node ID	Node Title	Node Description	Node Language	Node Last Build Date	Node ttl	Node URL	Item Title	Item URL	Item Date	Item Time	Item Description	Item Onboard Temp	Item Probe Temp	Item Light
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 19:48:39	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  62.47 F, Probe: 50.0 F, Light: 1 (10/29/07 19:48:39)	http://74.128.119.207/	10/29/07	19:48:39 EDT	SNITTER Reading	 62.47	50.0	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 19:58:18	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  59.21 F, Probe: 48.2 F, Light: 1 (10/29/07 19:58:18)	http://74.128.119.207/	10/29/07	19:58:18 EDT	SNITTER Reading	 59.21	48.2	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:08:28	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  57.30 F, Probe: 48.2 F, Light: 1 (10/29/07 20:08:28)	http://74.128.119.207/	10/29/07	20:08:28 EDT	SNITTER Reading	 57.30	48.2	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:18:35	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  55.85 F, Probe: 48.2 F, Light: 1 (10/29/07 20:18:35)	http://74.128.119.207/	10/29/07	20:18:35 EDT	SNITTER Reading	 55.85	48.2	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:28:40	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  55.16 F, Probe: 46.4 F, Light: 1 (10/29/07 20:28:40)	http://74.128.119.207/	10/29/07	20:28:40 EDT	SNITTER Reading	 55.16	46.4	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:38:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  54.26 F, Probe: 46.4 F, Light: 1 (10/29/07 20:38:11)	http://74.128.119.207/	10/29/07	20:38:11 EDT	SNITTER Reading	 54.26	46.4	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:48:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  53.25 F, Probe: 44.6 F, Light: 0 (10/29/07 20:48:11)	http://74.128.119.207/	10/29/07	20:48:11 EDT	SNITTER Reading	 53.25	44.6	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 20:58:19	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  53.02 F, Probe: 44.6 F, Light: 1 (10/29/07 20:58:19)	http://74.128.119.207/	10/29/07	20:58:19 EDT	SNITTER Reading	 53.02	44.6	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:08:27	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  52.35 F, Probe: 44.6 F, Light: 1 (10/29/07 21:08:27)	http://74.128.119.207/	10/29/07	21:08:27 EDT	SNITTER Reading	 52.35	44.6	1	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:18:34	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  51.80 F, Probe: 44.6 F, Light: 0 (10/29/07 21:18:34)	http://74.128.119.207/	10/29/07	21:18:34 EDT	SNITTER Reading	 51.80	44.6	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:28:41	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  51.45 F, Probe: 42.8 F, Light: 0 (10/29/07 21:28:41)	http://74.128.119.207/	10/29/07	21:28:41 EDT	SNITTER Reading	 51.45	42.8	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:38:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  51.00 F, Probe: 42.8 F, Light: 0 (10/29/07 21:38:11)	http://74.128.119.207/	10/29/07	21:38:11 EDT	SNITTER Reading	 51.00	42.8	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:48:17	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  50.45 F, Probe: 42.8 F, Light: 0 (10/29/07 21:48:17)	http://74.128.119.207/	10/29/07	21:48:17 EDT	SNITTER Reading	 50.45	42.8	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 21:58:22	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  50.21 F, Probe: 42.8 F, Light: 0 (10/29/07 21:58:22)	http://74.128.119.207/	10/29/07	21:58:22 EDT	SNITTER Reading	 50.21	42.8	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:08:27	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  49.76 F, Probe: 42.8 F, Light: 0 (10/29/07 22:08:27)	http://74.128.119.207/	10/29/07	22:08:27 EDT	SNITTER Reading	 49.76	42.8	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:18:31	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  49.42 F, Probe: 41.0 F, Light: 0 (10/29/07 22:18:31)	http://74.128.119.207/	10/29/07	22:18:31 EDT	SNITTER Reading	 49.42	41.0	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:28:35	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  49.20 F, Probe: 41.0 F, Light: 0 (10/29/07 22:28:35)	http://74.128.119.207/	10/29/07	22:28:35 EDT	SNITTER Reading	 49.20	41.0	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:38:39	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  48.75 F, Probe: 41.0 F, Light: 0 (10/29/07 22:38:39)	http://74.128.119.207/	10/29/07	22:38:39 EDT	SNITTER Reading	 48.75	41.0	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:48:42	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  48.41 F, Probe: 39.2 F, Light: 0 (10/29/07 22:48:42)	http://74.128.119.207/	10/29/07	22:48:42 EDT	SNITTER Reading	 48.41	39.2	0	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/29/07 22:58:09	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  47.85 F, Probe: 39.2 F, Light: 0 (10/29/07 22:58:09)	http://74.128.119.207/	10/29/07	22:58:09 EDT	SNITTER Reading	 47.85	39.2	0	
