Node ID	Node Title	Node Description	Node Language	Node Last Build Date	Node ttl	Node URL	Item Title	Item URL	Item Date	Item Time	Item Description	Item Onboard Temp	Item Probe Temp	Item Light
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 09:46:41	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  52.01 F, Probe: 46.4 F, Light: 453 (11/09/07 09:46:41)	http://74.128.119.207/	11/09/07	09:46:41 EDT	SNITTER Reading	 52.01	46.4	453	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 09:56:48	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  52.25 F, Probe: 46.4 F, Light: 539 (11/09/07 09:56:48)	http://74.128.119.207/	11/09/07	09:56:48 EDT	SNITTER Reading	 52.25	46.4	539	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:06:55	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  52.91 F, Probe: 46.4 F, Light: 624 (11/09/07 10:06:55)	http://74.128.119.207/	11/09/07	10:06:55 EDT	SNITTER Reading	 52.91	46.4	624	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:16:57	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  53.81 F, Probe: 48.2 F, Light: 712 (11/09/07 10:16:57)	http://74.128.119.207/	11/09/07	10:16:57 EDT	SNITTER Reading	 53.81	48.2	712	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:27:04	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  54.50 F, Probe: 48.2 F, Light: 808 (11/09/07 10:27:04)	http://74.128.119.207/	11/09/07	10:27:04 EDT	SNITTER Reading	 54.50	48.2	808	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:36:35	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  54.82 F, Probe: 50.0 F, Light: 796 (11/09/07 10:36:35)	http://74.128.119.207/	11/09/07	10:36:35 EDT	SNITTER Reading	 54.82	50.0	796	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:46:41	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  54.95 F, Probe: 50.0 F, Light: 884 (11/09/07 10:46:41)	http://74.128.119.207/	11/09/07	10:46:41 EDT	SNITTER Reading	 54.95	50.0	884	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 10:56:48	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  55.72 F, Probe: 50.0 F, Light: 846 (11/09/07 10:56:48)	http://74.128.119.207/	11/09/07	10:56:48 EDT	SNITTER Reading	 55.72	50.0	846	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 11:06:56	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  55.85 F, Probe: 50.0 F, Light: 987 (11/09/07 11:06:56)	http://74.128.119.207/	11/09/07	11:06:56 EDT	SNITTER Reading	 55.85	50.0	987	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	11/09/07 11:17:03	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  56.06 F, Probe: 51.8 F, Light: 1101 (11/09/07 11:17:03)	http://74.128.119.207/	11/09/07	11:17:03 EDT	SNITTER Reading	 56.06	51.8	1101	
