Node ID	Node Title	Node Description	Node Language	Node Last Build Date	Node ttl	Node URL	Item Title	Item URL	Item Date	Item Time	Item Description	Item Onboard Temp	Item Probe Temp	Item Light
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:27:37	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  83.75 F, Probe: 84.2 F, Light: 2022 (10/16/07 17:27:37)	http://74.128.119.207/	10/16/07	17:27:37 EDT	SNITTER Reading	 83.75	84.2	2022	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:28:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  83.62 F, Probe: 84.2 F, Light: 2009 (10/16/07 17:28:11)	http://74.128.119.207/	10/16/07	17:28:11 EDT	SNITTER Reading	 83.62	84.2	2009	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:28:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  83.62 F, Probe: 84.2 F, Light: 2009 (10/16/07 17:28:11)	http://74.128.119.207/	10/16/07	17:28:11 EDT	SNITTER Reading	 83.62	84.2	2009	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:28:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  83.62 F, Probe: 84.2 F, Light: 2009 (10/16/07 17:28:11)	http://74.128.119.207/	10/16/07	17:28:11 EDT	SNITTER Reading	 83.62	84.2	2009	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:49:15	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.87 F, Probe: 100.4 F, Light: 16920 (10/16/07 17:49:15)	http://74.128.119.207/	10/16/07	17:49:15 EDT	SNITTER Reading	 85.87	100.4	16920	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:49:15	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.87 F, Probe: 100.4 F, Light: 16920 (10/16/07 17:49:15)	http://74.128.119.207/	10/16/07	17:49:15 EDT	SNITTER Reading	 85.87	100.4	16920	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:50:58	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.76 F, Probe: 100.4 F, Light: 17074 (10/16/07 17:50:58)	http://74.128.119.207/	10/16/07	17:50:58 EDT	SNITTER Reading	 85.76	100.4	17074	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:50:58	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.76 F, Probe: 100.4 F, Light: 17074 (10/16/07 17:50:58)	http://74.128.119.207/	10/16/07	17:50:58 EDT	SNITTER Reading	 85.76	100.4	17074	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:50:58	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.76 F, Probe: 100.4 F, Light: 17074 (10/16/07 17:50:58)	http://74.128.119.207/	10/16/07	17:50:58 EDT	SNITTER Reading	 85.76	100.4	17074	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/16/07 17:50:58	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.76 F, Probe: 100.4 F, Light: 17074 (10/16/07 17:50:58)	http://74.128.119.207/	10/16/07	17:50:58 EDT	SNITTER Reading	 85.76	100.4	17074	
