Node ID	Node Title	Node Description	Node Language	Node Last Build Date	Node ttl	Node URL	Item Title	Item URL	Item Date	Item Time	Item Description	Item Onboard Temp	Item Probe Temp	Item Light
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:05:22	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  83.51 F, Probe: 105.8 F, Light: 9885 (10/21/07 16:05:22)	http://74.128.119.207/	10/21/07	16:05:22 EDT	SNITTER Reading	 83.51	105.8	9885	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:15:35	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  85.65 F, Probe: 111.2 F, Light: 12559 (10/21/07 16:15:35)	http://74.128.119.207/	10/21/07	16:15:35 EDT	SNITTER Reading	 85.65	111.2	12559	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:25:51	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  87.45 F, Probe: 113.0 F, Light: 15589 (10/21/07 16:25:51)	http://74.128.119.207/	10/21/07	16:25:51 EDT	SNITTER Reading	 87.45	113.0	15589	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:35:36	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  89.25 F, Probe: 114.8 F, Light: 17079 (10/21/07 16:35:36)	http://74.128.119.207/	10/21/07	16:35:36 EDT	SNITTER Reading	 89.25	114.8	17079	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:45:20	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  89.02 F, Probe: 113.0 F, Light: 16904 (10/21/07 16:45:20)	http://74.128.119.207/	10/21/07	16:45:20 EDT	SNITTER Reading	 89.02	113.0	16904	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 16:55:40	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  89.81 F, Probe: 116.6 F, Light: 16894 (10/21/07 16:55:40)	http://74.128.119.207/	10/21/07	16:55:40 EDT	SNITTER Reading	 89.81	116.6	16894	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:05:25	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.80 F, Probe: 116.6 F, Light: 16898 (10/21/07 17:05:25)	http://74.128.119.207/	10/21/07	17:05:25 EDT	SNITTER Reading	 88.80	116.6	16898	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:15:11	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  89.81 F, Probe: 116.6 F, Light: 16890 (10/21/07 17:15:11)	http://74.128.119.207/	10/21/07	17:15:11 EDT	SNITTER Reading	 89.81	116.6	16890	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:25:30	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.12 F, Probe: 114.8 F, Light: 16898 (10/21/07 17:25:30)	http://74.128.119.207/	10/21/07	17:25:30 EDT	SNITTER Reading	 88.12	114.8	16898	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:35:14	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.80 F, Probe: 113.0 F, Light: 16907 (10/21/07 17:35:14)	http://74.128.119.207/	10/21/07	17:35:14 EDT	SNITTER Reading	 88.80	113.0	16907	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:44:58	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.01 F, Probe: 111.2 F, Light: 16900 (10/21/07 17:44:58)	http://74.128.119.207/	10/21/07	17:44:58 EDT	SNITTER Reading	 88.01	111.2	16900	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 17:55:17	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.46 F, Probe: 111.2 F, Light: 16903 (10/21/07 17:55:17)	http://74.128.119.207/	10/21/07	17:55:17 EDT	SNITTER Reading	 88.46	111.2	16903	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:05:01	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  87.56 F, Probe: 107.6 F, Light: 16906 (10/21/07 18:05:01)	http://74.128.119.207/	10/21/07	18:05:01 EDT	SNITTER Reading	 87.56	107.6	16906	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:15:18	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  88.12 F, Probe: 105.8 F, Light: 16643 (10/21/07 18:15:18)	http://74.128.119.207/	10/21/07	18:15:18 EDT	SNITTER Reading	 88.12	105.8	16643	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:25:00	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  86.32 F, Probe: 91.4 F, Light: 751 (10/21/07 18:25:00)	http://74.128.119.207/	10/21/07	18:25:00 EDT	SNITTER Reading	 86.32	91.4	751	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:35:09	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  82.95 F, Probe: 86.0 F, Light: 448 (10/21/07 18:35:09)	http://74.128.119.207/	10/21/07	18:35:09 EDT	SNITTER Reading	 82.95	86.0	448	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:45:16	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  82.40 F, Probe: 82.4 F, Light: 309 (10/21/07 18:45:16)	http://74.128.119.207/	10/21/07	18:45:16 EDT	SNITTER Reading	 82.40	82.4	309	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 18:55:21	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  81.37 F, Probe: 80.6 F, Light: 173 (10/21/07 18:55:21)	http://74.128.119.207/	10/21/07	18:55:21 EDT	SNITTER Reading	 81.37	80.6	173	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 19:05:27	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  81.82 F, Probe: 78.8 F, Light: 71 (10/21/07 19:05:27)	http://74.128.119.207/	10/21/07	19:05:27 EDT	SNITTER Reading	 81.82	78.8	71	
SNITTERNODE001	SNITTER Sensor Node	This is the reportings from the SNITTER Sensor Node 001.	en-us	10/21/07 19:15:33	5	http://74.128.119.207	SNITTERNODE001 -  Temp:  81.05 F, Probe: 77.0 F, Light: 18 (10/21/07 19:15:33)	http://74.128.119.207/	10/21/07	19:15:33 EDT	SNITTER Reading	 81.05	77.0	18	
